type,address,description,proxy
cex,0x89e51fa8ca5d66cd220baed62ed01e8951aa7c40,Kraken,Kraken 7
cex,0xc6bed363b30df7f35b601a5547fe56cd31ec63da,Kraken,Kraken 8
cex,0x29728d0efd284d85187362faa2d4d76c2cfc2612,Kraken,Kraken 9
cex,0xae2d4617c862309a3d75a0ffb358c7a5009c673f,Kraken,Kraken 10
cex,0x43984d578803891dfa9706bdeee6078d80cfc79e,Kraken,Kraken 11
cex,0x66c57bf505a85a74609d2c83e94aabb26d691e1f,Kraken,Kraken 12
cex,0xda9dfa130df4de4673b89022ee50ff26f6ea73cf,Kraken,Kraken 13
cex,0xa83b11093c858c86321fbc4c20fe82cdbd58e09e,Kraken,Kraken 14
cex,0xce27fc71139d02f9a3d5cc1356add185750660ac,Kraken,Kraken 15
cex,0x0d0452f487d1edc869d1488ae984590ca2900d2f,Kraken,Kraken 16
cex,0x6d0cf1f651f5ae585d24dcaa188d44e389e93d26,Kraken,Kraken 17
cex,0x735fd3c55a8be1aeb3544c7e29eba3ea23500a1c,Kraken,Kraken 18
cex,0xfedac45de308e24b8282193c512f029250943d8a,Kraken,Kraken 19
cex,0x098cbdd8eb01b19d37539644821772e9bde12d55,Kraken,Kraken 20
cex,0x9ee32359b180ff684a315053e418aaf223932cb9,Kraken,Kraken 21
cex,0x491f5512751f5db45c5415049d423affaae70392,Kraken,Kraken 22
cex,0x34036f30371847c9fd8036b7ea5af1b3126306dc,Kraken,Kraken 23
cex,0x62ac55b745f9b08f1a81dcbbe630277095cf4be1,Kraken,Kraken 24
cex,0x10593a64b7b7bb0ea29b8c01f1619ca8ff294b2f,Kraken,Kraken 25
cex,0x60637c83bd6aea40d637d91cca8d724272b2d5fa,Kraken,Kraken 26
cex,0xa939bffb33bed18dc0063737cb9ea41a1fdb2fe3,Kraken,Kraken 27
cex,0x5c5f75b6fba2903adf66c7bddcea99b4cce44a8a,Kraken,Kraken 28
cex,0xa861678bee80035114b47615142e9302139a8c32,Kraken,Kraken 29
cex,0xe52ecf8d97e290dad5963296c5d1f81472f2ec48,Kraken,Kraken 30
cex,0x5203aeaaee721195707b01e613b6c3259b3a5cf6,Kraken,Kraken 31
cex,0x71beefcf9f31872ccec0bc9789f211609685205a,Kraken,Kraken 32
cex,0x16b2b042f15564bb8585259f535907f375bdc415,Kraken,Kraken 33
cex,0x8ab54f9e6df35b26168847ea93dab9659ecf286d,Kraken,Kraken 34
