Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,LLOC_NAIX,SEXE
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,401,5,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,668,5,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,344,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,394,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,36,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,48,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,102,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,113,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,76,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,115,4,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,767,5,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,1096,5,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,..,6,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1009,278,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1009,290,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1009,45,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1009,38,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1009,113,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1009,81,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1009,57,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1009,67,4,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1009,497,5,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1009,668,5,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1010,255,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1010,264,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1010,31,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1010,28,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1010,67,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1010,76,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1010,58,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1010,71,4,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1010,635,5,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1010,810,5,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1010,..,6,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1010,..,6,2
