Data_Referencia,Valor,LLOC_NAIX_PAIS,EDAT_Q,SEXE
2023-01-01,26457,58,6,1
2023-01-01,27460,58,6,2
2023-01-01,27110,58,7,1
2023-01-01,28480,58,7,2
2023-01-01,32491,58,8,1
2023-01-01,33985,58,8,2
2023-01-01,40144,58,9,1
2023-01-01,40218,58,9,2
2023-01-01,40452,58,10,1
2023-01-01,38733,58,10,2
2023-01-01,42831,58,11,1
2023-01-01,38749,58,11,2
2023-01-01,42406,58,12,1
2023-01-01,36455,58,12,2
2023-01-01,39743,58,13,1
2023-01-01,31916,58,13,2
2023-01-01,39528,58,14,1
2023-01-01,29860,58,14,2
2023-01-01,38117,58,15,1
2023-01-01,27220,58,15,2
2023-01-01,27438,58,16,1
2023-01-01,18041,58,16,2
2023-01-01,25639,58,17,1
2023-01-01,13451,58,17,2
2023-01-01,14808,58,18,1
2023-01-01,5983,58,18,2
2023-01-01,4784,58,19,1
2023-01-01,1214,58,19,2
2023-01-01,723,58,20,1
2023-01-01,149,58,20,2
2023-01-01,..,66,0,1
2023-01-01,..,66,0,2
2023-01-01,7,66,1,1
2023-01-01,9,66,1,2
2023-01-01,7,66,2,1
2023-01-01,8,66,2,2
2023-01-01,..,66,3,1
2023-01-01,6,66,3,2
2023-01-01,21,66,4,1
2023-01-01,6,66,4,2
2023-01-01,59,66,5,1
2023-01-01,25,66,5,2
2023-01-01,64,66,6,1
2023-01-01,33,66,6,2
2023-01-01,51,66,7,1
2023-01-01,35,66,7,2
2023-01-01,40,66,8,1
2023-01-01,32,66,8,2
2023-01-01,26,66,9,1
2023-01-01,15,66,9,2
2023-01-01,9,66,10,1
2023-01-01,18,66,10,2
2023-01-01,12,66,11,1
2023-01-01,8,66,11,2
2023-01-01,5,66,12,1
2023-01-01,10,66,12,2
2023-01-01,7,66,13,1
2023-01-01,..,66,13,2
2023-01-01,..,66,14,1
2023-01-01,..,66,14,2
2023-01-01,7,66,15,1
2023-01-01,..,66,16,1
2023-01-01,..,66,16,2
2023-01-01,..,66,17,1
2023-01-01,..,66,19,2
2023-01-01,110,67,0,1
2023-01-01,118,67,0,2
2023-01-01,198,67,1,1
2023-01-01,214,67,1,2
2023-01-01,220,67,2,1
2023-01-01,193,67,2,2
2023-01-01,201,67,3,1
2023-01-01,184,67,3,2
2023-01-01,425,67,4,1
2023-01-01,357,67,4,2
2023-01-01,1327,67,5,1
2023-01-01,1025,67,5,2
2023-01-01,1396,67,6,1
2023-01-01,1440,67,6,2
2023-01-01,979,67,7,1
2023-01-01,1149,67,7,2
2023-01-01,864,67,8,1
2023-01-01,1124,67,8,2
2023-01-01,663,67,9,1
2023-01-01,846,67,9,2
2023-01-01,603,67,10,1
2023-01-01,709,67,10,2
2023-01-01,505,67,11,1
2023-01-01,512,67,11,2
2023-01-01,300,67,12,1
2023-01-01,311,67,12,2
2023-01-01,138,67,13,1
2023-01-01,118,67,13,2
2023-01-01,230,67,14,1
2023-01-01,128,67,14,2
2023-01-01,211,67,15,1
2023-01-01,78,67,15,2
2023-01-01,218,67,16,1
2023-01-01,119,67,16,2
2023-01-01,140,67,17,1
2023-01-01,41,67,17,2
2023-01-01,128,67,18,1
2023-01-01,55,67,18,2
2023-01-01,55,67,19,1
2023-01-01,11,67,19,2
2023-01-01,11,67,20,1
2023-01-01,6,73,0,1
2023-01-01,9,73,0,2
2023-01-01,7,73,1,1
2023-01-01,6,73,1,2
2023-01-01,10,73,2,1
2023-01-01,11,73,2,2
2023-01-01,..,73,3,1
2023-01-01,7,73,3,2
2023-01-01,28,73,4,1
2023-01-01,19,73,4,2
2023-01-01,161,73,5,1
2023-01-01,102,73,5,2
2023-01-01,151,73,6,1
2023-01-01,132,73,6,2
2023-01-01,119,73,7,1
2023-01-01,141,73,7,2
2023-01-01,67,73,8,1
2023-01-01,110,73,8,2
2023-01-01,37,73,9,1
2023-01-01,40,73,9,2
2023-01-01,11,73,10,1
2023-01-01,21,73,10,2
2023-01-01,5,73,11,1
2023-01-01,10,73,11,2
2023-01-01,8,73,12,1
2023-01-01,13,73,12,2
2023-01-01,6,73,13,1
2023-01-01,7,73,13,2
2023-01-01,..,73,14,1
2023-01-01,6,73,14,2
2023-01-01,..,73,15,1
2023-01-01,7,73,15,2
2023-01-01,..,73,16,2
2023-01-01,..,73,17,1
2023-01-01,5,73,17,2
2023-01-01,..,73,18,2
2023-01-01,..,88,0,1
2023-01-01,5,88,0,2
2023-01-01,..,88,1,1
2023-01-01,17,88,1,2
2023-01-01,5,88,2,1
2023-01-01,13,88,2,2
2023-01-01,9,88,3,1
2023-01-01,8,88,3,2
2023-01-01,32,88,4,1
2023-01-01,19,88,4,2
2023-01-01,87,88,5,1
2023-01-01,53,88,5,2
2023-01-01,109,88,6,1
2023-01-01,72,88,6,2
2023-01-01,108,88,7,1
2023-01-01,71,88,7,2
2023-01-01,70,88,8,1
2023-01-01,49,88,8,2
2023-01-01,55,88,9,1
2023-01-01,35,88,9,2
2023-01-01,16,88,10,1
2023-01-01,8,88,10,2
2023-01-01,10,88,11,1
2023-01-01,10,88,11,2
2023-01-01,..,88,12,1
2023-01-01,..,88,12,2
2023-01-01,9,88,13,1
2023-01-01,..,88,13,2
2023-01-01,..,88,14,2
2023-01-01,..,88,15,1
2023-01-01,..,88,16,1
2023-01-01,..,88,16,2
2023-01-01,..,88,17,1
2023-01-01,..,88,18,1
2023-01-01,7,105,0,1
2023-01-01,12,105,0,2
2023-01-01,14,105,1,1
2023-01-01,13,105,1,2
2023-01-01,7,105,2,1
2023-01-01,12,105,2,2
2023-01-01,14,105,3,1
2023-01-01,10,105,3,2
2023-01-01,42,105,4,1
2023-01-01,47,105,4,2
2023-01-01,117,105,5,1
2023-01-01,110,105,5,2
2023-01-01,67,105,6,1
2023-01-01,140,105,6,2
2023-01-01,49,105,7,1
2023-01-01,102,105,7,2
2023-01-01,43,105,8,1
2023-01-01,92,105,8,2
2023-01-01,37,105,9,1
2023-01-01,81,105,9,2
2023-01-01,25,105,10,1
2023-01-01,60,105,10,2
2023-01-01,14,105,11,1
2023-01-01,38,105,11,2
2023-01-01,14,105,12,1
2023-01-01,20,105,12,2
2023-01-01,5,105,13,1
2023-01-01,7,105,13,2
2023-01-01,7,105,14,1
2023-01-01,8,105,14,2
2023-01-01,9,105,15,1
2023-01-01,..,105,15,2
2023-01-01,..,105,16,1
2023-01-01,..,105,16,2
2023-01-01,..,105,17,1
2023-01-01,..,105,17,2
2023-01-01,..,105,18,1
2023-01-01,..,105,19,1
2023-01-01,..,106,0,1
2023-01-01,..,106,0,2
2023-01-01,..,106,1,1
2023-01-01,..,106,1,2
2023-01-01,7,106,2,1
2023-01-01,..,106,2,2
2023-01-01,..,106,3,1
2023-01-01,..,106,3,2
2023-01-01,12,106,4,1
2023-01-01,..,106,4,2
2023-01-01,6,106,5,1
2023-01-01,7,106,5,2
2023-01-01,13,106,6,1
2023-01-01,7,106,6,2
2023-01-01,..,106,7,1
2023-01-01,5,106,7,2
2023-01-01,9,106,8,1
2023-01-01,6,106,8,2
2023-01-01,..,106,9,1
2023-01-01,..,106,9,2
2023-01-01,..,106,10,1
2023-01-01,..,106,10,2
2023-01-01,..,106,11,2
2023-01-01,..,106,12,1
2023-01-01,..,106,12,2
2023-01-01,..,106,15,1
2023-01-01,..,106,16,2
2023-01-01,75,108,0,1
2023-01-01,81,108,0,2
2023-01-01,122,108,1,1
2023-01-01,128,108,1,2
2023-01-01,137,108,2,1
2023-01-01,164,108,2,2
2023-01-01,155,108,3,1
2023-01-01,155,108,3,2
2023-01-01,505,108,4,1
2023-01-01,451,108,4,2
2023-01-01,1644,108,5,1
2023-01-01,1634,108,5,2
2023-01-01,2117,108,6,1
2023-01-01,2421,108,6,2
2023-01-01,1669,108,7,1
2023-01-01,2240,108,7,2
2023-01-01,1359,108,8,1
2023-01-01,1799,108,8,2
2023-01-01,816,108,9,1
2023-01-01,1256,108,9,2
2023-01-01,413,108,10,1
2023-01-01,738,108,10,2
2023-01-01,231,108,11,1
2023-01-01,430,108,11,2
2023-01-01,130,108,12,1
2023-01-01,223,108,12,2
2023-01-01,89,108,13,1
2023-01-01,125,108,13,2
2023-01-01,89,108,14,1
2023-01-01,117,108,14,2
2023-01-01,97,108,15,1
2023-01-01,82,108,15,2
2023-01-01,84,108,16,1
2023-01-01,69,108,16,2
2023-01-01,46,108,17,1
2023-01-01,37,108,17,2
2023-01-01,27,108,18,1
2023-01-01,15,108,18,2
2023-01-01,5,108,19,1
2023-01-01,..,108,20,1
2023-01-01,..,124,7,2
2023-01-01,..,124,8,1
2023-01-01,..,126,0,1
2023-01-01,..,126,0,2
2023-01-01,7,126,1,1
2023-01-01,..,126,1,2
2023-01-01,..,126,2,1
2023-01-01,..,126,2,2
2023-01-01,5,126,3,1
2023-01-01,..,126,3,2
2023-01-01,..,126,4,1
2023-01-01,10,126,4,2
2023-01-01,9,126,5,1
2023-01-01,17,126,5,2
2023-01-01,8,126,6,1
2023-01-01,8,126,6,2
2023-01-01,..,126,7,1
2023-01-01,8,126,7,2
2023-01-01,..,126,8,1
2023-01-01,..,126,8,2
2023-01-01,..,126,9,1
2023-01-01,7,126,9,2
2023-01-01,..,126,10,1
2023-01-01,..,126,10,2
2023-01-01,..,126,11,1
2023-01-01,..,126,11,2
2023-01-01,..,126,12,1
2023-01-01,..,126,14,2
2023-01-01,..,134,0,1
2023-01-01,..,134,0,2
2023-01-01,..,134,1,1
2023-01-01,..,134,1,2
2023-01-01,..,134,2,1
2023-01-01,..,134,4,1
2023-01-01,5,134,5,1
2023-01-01,5,134,5,2
2023-01-01,..,134,6,1
2023-01-01,..,134,6,2
2023-01-01,..,134,7,1
2023-01-01,8,134,7,2
2023-01-01,..,134,8,1
2023-01-01,..,134,8,2
2023-01-01,..,134,9,1
2023-01-01,..,134,9,2
2023-01-01,..,134,10,2
2023-01-01,..,134,11,1
2023-01-01,..,134,11,2
2023-01-01,..,134,12,2
2023-01-01,..,134,15,1
2023-01-01,..,144,1,2
2023-01-01,..,144,4,1
2023-01-01,..,144,4,2
2023-01-01,5,144,5,1
2023-01-01,..,144,5,2
2023-01-01,..,144,6,1
2023-01-01,..,144,6,2
2023-01-01,..,144,7,1
2023-01-01,..,144,7,2
2023-01-01,..,144,8,1
2023-01-01,..,144,8,2
2023-01-01,..,144,9,2
2023-01-01,..,144,10,1
2023-01-01,..,156,0,1
2023-01-01,..,156,0,2
2023-01-01,5,156,1,1
2023-01-01,..,156,1,2
2023-01-01,..,156,2,1
2023-01-01,7,156,2,2
2023-01-01,..,156,3,1
2023-01-01,..,156,3,2
2023-01-01,36,156,4,1
2023-01-01,20,156,4,2
2023-01-01,51,156,5,1
2023-01-01,27,156,5,2
2023-01-01,37,156,6,1
2023-01-01,24,156,6,2
2023-01-01,15,156,7,1
2023-01-01,25,156,7,2
2023-01-01,13,156,8,1
2023-01-01,23,156,8,2
2023-01-01,6,156,9,1
2023-01-01,8,156,9,2
2023-01-01,8,156,10,1
2023-01-01,17,156,10,2
2023-01-01,..,156,11,1
2023-01-01,12,156,11,2
2023-01-01,..,156,12,1
2023-01-01,..,156,12,2
2023-01-01,..,156,13,1
2023-01-01,5,156,13,2
2023-01-01,..,156,14,1
2023-01-01,..,156,14,2
2023-01-01,..,156,15,1
2023-01-01,..,156,15,2
2023-01-01,..,156,16,1
2023-01-01,..,156,16,2
2023-01-01,36,160,0,1
2023-01-01,26,160,0,2
2023-01-01,32,160,1,1
2023-01-01,48,160,1,2
2023-01-01,30,160,2,1
2023-01-01,27,160,2,2
2023-01-01,31,160,3,1
2023-01-01,24,160,3,2
2023-01-01,126,160,4,1
2023-01-01,99,160,4,2
2023-01-01,277,160,5,1
2023-01-01,256,160,5,2
2023-01-01,240,160,6,1
2023-01-01,267,160,6,2
2023-01-01,124,160,7,1
2023-01-01,171,160,7,2
2023-01-01,106,160,8,1
2023-01-01,154,160,8,2
2023-01-01,75,160,9,1
2023-01-01,139,160,9,2
2023-01-01,72,160,10,1
2023-01-01,143,160,10,2
2023-01-01,44,160,11,1
2023-01-01,108,160,11,2
2023-01-01,26,160,12,1
2023-01-01,54,160,12,2
2023-01-01,14,160,13,1
2023-01-01,39,160,13,2
2023-01-01,16,160,14,1
2023-01-01,13,160,14,2
2023-01-01,25,160,15,1
2023-01-01,17,160,15,2
2023-01-01,12,160,16,1
2023-01-01,10,160,16,2
2023-01-01,7,160,17,1
2023-01-01,..,160,17,2
2023-01-01,12,170,0,1
2023-01-01,11,170,0,2
2023-01-01,13,170,1,1
2023-01-01,18,170,1,2
2023-01-01,18,170,2,1
2023-01-01,16,170,2,2
2023-01-01,16,170,3,1
2023-01-01,15,170,3,2
2023-01-01,68,170,4,1
2023-01-01,36,170,4,2
2023-01-01,288,170,5,1
2023-01-01,118,170,5,2
2023-01-01,425,170,6,1
2023-01-01,174,170,6,2
2023-01-01,443,170,7,1
2023-01-01,193,170,7,2
2023-01-01,294,170,8,1
2023-01-01,148,170,8,2
2023-01-01,136,170,9,1
2023-01-01,77,170,9,2
2023-01-01,37,170,10,1
2023-01-01,50,170,10,2
2023-01-01,35,170,11,1
2023-01-01,37,170,11,2
2023-01-01,29,170,12,1
2023-01-01,24,170,12,2
2023-01-01,21,170,13,1
2023-01-01,19,170,13,2
2023-01-01,15,170,14,1
2023-01-01,5,170,14,2
2023-01-01,7,170,15,1
2023-01-01,..,170,15,2
2023-01-01,..,170,16,1
2023-01-01,..,170,16,2
2023-01-01,..,170,17,1
2023-01-01,..,170,17,2
2023-01-01,..,170,18,1
2023-01-01,17,171,0,1
2023-01-01,13,171,0,2
2023-01-01,17,171,1,1
2023-01-01,21,171,1,2
2023-01-01,16,171,2,1
2023-01-01,23,171,2,2
2023-01-01,35,171,3,1
2023-01-01,25,171,3,2
2023-01-01,121,171,4,1
2023-01-01,84,171,4,2
2023-01-01,310,171,5,1
2023-01-01,251,171,5,2
2023-01-01,324,171,6,1
2023-01-01,334,171,6,2
2023-01-01,248,171,7,1
2023-01-01,337,171,7,2
2023-01-01,226,171,8,1
2023-01-01,262,171,8,2
2023-01-01,124,171,9,1
2023-01-01,161,171,9,2
2023-01-01,79,171,10,1
2023-01-01,89,171,10,2
2023-01-01,62,171,11,1
2023-01-01,76,171,11,2
2023-01-01,67,171,12,1
2023-01-01,69,171,12,2
2023-01-01,62,171,13,1
2023-01-01,56,171,13,2
2023-01-01,54,171,14,1
2023-01-01,29,171,14,2
2023-01-01,34,171,15,1
2023-01-01,13,171,15,2
2023-01-01,18,171,16,1
2023-01-01,14,171,16,2
2023-01-01,14,171,17,1
2023-01-01,5,171,17,2
2023-01-01,10,171,18,1
2023-01-01,..,171,18,2
2023-01-01,..,171,19,1
2023-01-01,..,171,20,1
2023-01-01,..,6,0,2
2023-01-01,8,6,1,2
2023-01-01,7,6,2,1
2023-01-01,..,6,2,2
2023-01-01,11,6,3,1
2023-01-01,9,6,3,2
2023-01-01,60,6,4,1
2023-01-01,55,6,4,2
2023-01-01,83,6,5,1
2023-01-01,71,6,5,2
2023-01-01,63,6,6,1
2023-01-01,67,6,6,2
2023-01-01,34,6,7,1
2023-01-01,48,6,7,2
2023-01-01,35,6,8,1
2023-01-01,46,6,8,2
2023-01-01,33,6,9,1
2023-01-01,32,6,9,2
2023-01-01,14,6,10,1
2023-01-01,20,6,10,2
2023-01-01,12,6,11,1
2023-01-01,8,6,11,2
2023-01-01,11,6,12,1
2023-01-01,..,6,12,2
2023-01-01,5,6,13,1
2023-01-01,10,6,13,2
2023-01-01,5,6,14,1
2023-01-01,..,6,14,2
2023-01-01,..,6,15,1
2023-01-01,..,6,16,1
2023-01-01,..,6,16,2
2023-01-01,..,6,17,1
2023-01-01,..,6,18,1
2023-01-01,102,174,0,1
2023-01-01,131,174,0,2
2023-01-01,177,174,1,1
2023-01-01,175,174,1,2
2023-01-01,95,174,2,1
2023-01-01,91,174,2,2
2023-01-01,102,174,3,1
2023-01-01,96,174,3,2
2023-01-01,360,174,4,1
2023-01-01,230,174,4,2
2023-01-01,560,174,5,1
2023-01-01,593,174,5,2
2023-01-01,601,174,6,1
2023-01-01,918,174,6,2
2023-01-01,469,174,7,1
2023-01-01,725,174,7,2
2023-01-01,338,174,8,1
2023-01-01,531,174,8,2
2023-01-01,303,174,9,1
2023-01-01,431,174,9,2
2023-01-01,229,174,10,1
2023-01-01,468,174,10,2
2023-01-01,182,174,11,1
2023-01-01,365,174,11,2
2023-01-01,108,174,12,1
2023-01-01,213,174,12,2
2023-01-01,73,174,13,1
2023-01-01,114,174,13,2
2023-01-01,72,174,14,1
2023-01-01,85,174,14,2
2023-01-01,50,174,15,1
2023-01-01,53,174,15,2
2023-01-01,41,174,16,1
2023-01-01,9,174,16,2
2023-01-01,12,174,17,1
2023-01-01,15,174,17,2
2023-01-01,..,174,18,2
2023-01-01,..,174,19,1
2023-01-01,64,4,0,1
2023-01-01,57,4,0,2
2023-01-01,84,4,1,1
2023-01-01,88,4,1,2
2023-01-01,49,4,2,1
2023-01-01,51,4,2,2
2023-01-01,49,4,3,1
2023-01-01,42,4,3,2
2023-01-01,251,4,4,1
2023-01-01,164,4,4,2
2023-01-01,585,4,5,1
2023-01-01,485,4,5,2
2023-01-01,613,4,6,1
2023-01-01,563,4,6,2
2023-01-01,431,4,7,1
2023-01-01,428,4,7,2
2023-01-01,353,4,8,1
2023-01-01,345,4,8,2
2023-01-01,267,4,9,1
2023-01-01,317,4,9,2
2023-01-01,266,4,10,1
2023-01-01,362,4,10,2
2023-01-01,345,4,11,1
2023-01-01,391,4,11,2
2023-01-01,135,4,12,1
2023-01-01,142,4,12,2
2023-01-01,59,4,13,1
2023-01-01,57,4,13,2
2023-01-01,59,4,14,1
2023-01-01,42,4,14,2
2023-01-01,90,4,15,1
2023-01-01,28,4,15,2
2023-01-01,159,4,16,1
2023-01-01,37,4,16,2
2023-01-01,75,4,17,1
2023-01-01,23,4,17,2
2023-01-01,22,4,18,1
2023-01-01,8,4,18,2
2023-01-01,..,4,19,1
2023-01-01,..,4,19,2
2023-01-01,..,4,20,1
2023-01-01,..,4,20,2
2023-01-01,28,179,0,1
2023-01-01,31,179,0,2
2023-01-01,80,179,1,1
2023-01-01,66,179,1,2
2023-01-01,41,179,2,1
2023-01-01,84,179,2,2
2023-01-01,103,179,3,1
2023-01-01,112,179,3,2
2023-01-01,225,179,4,1
2023-01-01,157,179,4,2
2023-01-01,358,179,5,1
2023-01-01,264,179,5,2
2023-01-01,568,179,6,1
2023-01-01,394,179,6,2
2023-01-01,683,179,7,1
2023-01-01,454,179,7,2
2023-01-01,483,179,8,1
2023-01-01,427,179,8,2
2023-01-01,340,179,9,1
2023-01-01,330,179,9,2
2023-01-01,261,179,10,1
2023-01-01,236,179,10,2
2023-01-01,157,179,11,1
2023-01-01,128,179,11,2
2023-01-01,118,179,12,1
2023-01-01,75,179,12,2
2023-01-01,81,179,13,1
2023-01-01,57,179,13,2
2023-01-01,51,179,14,1
2023-01-01,24,179,14,2
2023-01-01,29,179,15,1
2023-01-01,11,179,15,2
2023-01-01,6,179,16,1
2023-01-01,..,179,16,2
2023-01-01,..,179,17,1
2023-01-01,..,179,17,2
2023-01-01,..,179,20,1
2023-01-01,..,192,4,1
2023-01-01,..,192,5,1
2023-01-01,..,192,6,1
2023-01-01,..,192,6,2
2023-01-01,..,192,9,2
2023-01-01,20,206,0,1
2023-01-01,12,206,0,2
2023-01-01,22,206,1,1
2023-01-01,20,206,1,2
2023-01-01,17,206,2,1
2023-01-01,19,206,2,2
2023-01-01,13,206,3,1
2023-01-01,12,206,3,2
2023-01-01,84,206,4,1
2023-01-01,35,206,4,2
2023-01-01,169,206,5,1
2023-01-01,130,206,5,2
2023-01-01,147,206,6,1
2023-01-01,143,206,6,2
2023-01-01,108,206,7,1
2023-01-01,93,206,7,2
2023-01-01,73,206,8,1
2023-01-01,85,206,8,2
2023-01-01,66,206,9,1
2023-01-01,58,206,9,2
2023-01-01,32,206,10,1
2023-01-01,36,206,10,2
2023-01-01,29,206,11,1
2023-01-01,26,206,11,2
2023-01-01,14,206,12,1
2023-01-01,9,206,12,2
2023-01-01,6,206,13,1
2023-01-01,9,206,13,2
2023-01-01,8,206,14,1
2023-01-01,8,206,14,2
2023-01-01,11,206,15,1
2023-01-01,5,206,15,2
2023-01-01,5,206,16,1
2023-01-01,..,206,16,2
2023-01-01,..,206,18,2
2023-01-01,21,207,0,1
2023-01-01,34,207,0,2
2023-01-01,36,207,1,1
2023-01-01,50,207,1,2
2023-01-01,28,207,2,1
2023-01-01,21,207,2,2
2023-01-01,19,207,3,1
2023-01-01,28,207,3,2
2023-01-01,63,207,4,1
2023-01-01,58,207,4,2
2023-01-01,114,207,5,1
2023-01-01,85,207,5,2
2023-01-01,120,207,6,1
2023-01-01,118,207,6,2
2023-01-01,79,207,7,1
2023-01-01,110,207,7,2
2023-01-01,77,207,8,1
2023-01-01,89,207,8,2
2023-01-01,91,207,9,1
2023-01-01,98,207,9,2
2023-01-01,120,207,10,1
2023-01-01,109,207,10,2
2023-01-01,141,207,11,1
2023-01-01,142,207,11,2
