Address,UserType,NetTokenValue
0x01ab07010c2f4bf5971537669cc19d5d8cf320a0,Community,60.18642735397526
0x03387d5015f88aea995e790f18ef7ff9dfa0943c,Community,2579.522285108502
0x03a13b51afedaac32fd63092c0dc75e00536096d,Community,1239.1218197297837
0x03ce77d68c5ef952d91ff53c336ffa260f43caa0,Community,616.4930648773808
0x04106fdd34485c03794f112e1c71ec6706bbb506,Team,84507.37849037723
0x055c881dabe7cd8f16b630c52a755cdd9c56ecd9,Community,117172.06981729851
0x056c23c029da306b0f73f3e005f7a31bfad7af4f,Community,356.19
0x0598d2c365a5661032a91da03ed74e298ceea67b,Community,2453.2044757054427
0x070172e1338c407096f7030007c1a865d5a05487,Owner,150000.0
0x071f78421ac4c71604955320f0745a084db75e1e,Community,46.478254849156535
0x08d0b7efd89319c2baddab8dd5ba8c7952aedcd4,Team,38589.92158051259
0x08e29a38e6f469834dab09142da41694c15d63cd,Community,660.6053671423589
0x096e4cdde5e54ac194f4bb914959f21279169c52,Community,2504.0483810407973
0x09b4cc17e0764e285bc147b3ade34c1ac349aaae,Community,72622.49645965574
0x0fba9095cedc2757cb52f0bfe31ab6a8774ce468,Community,500.0
0x0fc8c3aca0d337d01f9b740a6052736781fc6c3b,Community,331.59251378600584
0x102cc1d37a6b4f259a61d136c54575d40daa7e42,Community,1289.1177171034276
0x10335baedd7d204753d0098afee7c712ec550a90,Community,546.3725548603903
0x106e7eca4a0dac78eadfab1fea20336290694139,Team,1326.7854014798388
0x11f3083e679b0de318de58751385d7aceedf698a,Community,1366.3095257764528
0x141d792bb52cf321ecd57338d0ec3024dee85db5,Community,73044.92033516547
0x147488c0401dfd94d84b39f77e8630dd21763d97,Investor,1136284.6467360307
0x14d34857d2acbcc4955978d863c7ddd3df27925c,Community,10567.94398426846
0x16b7d0bbe72bd65619bdd230c8054ab6e41cf02c,Owner,80000.0
0x173b6bc070efda94f5ee14dcb0fe05689c871f9f,Community,134336.53638327224
0x194f820f8fbf8be658e2efc01a511ed9a0175be9,Community,1072.8613470241503
0x19a42d8444d22234336850f803961885b1972b64,Community,21102.611201841068
0x19e09fff30e5ec53787278d12de189bae9b60622,Investor,28972.115876917273
0x1aa513fc38be8fa8e6e29ef68910a09e891aff2e,Community,935.8437764192146
0x1b06f86cc6afecb851be1b8f5080bc134f2331db,Community,61.79014820217375
0x1b2830f9045b6f4940dad1dd43c7d16e96254f44,Community,5102.560720788665
0x1e0d3d3bccc24350ba30e746fa027e09786e3d97,Community,491933.9862889475
0x214013e8e5d8264b27e824077ce9fff49bc20e8e,Community,19131.209695070283
0x22e3add439202596419dc0bc768b9b1dd4abcb15,Community,104.66492382240043
0x231919835aa6c37092ba56200e477a39d31f25b2,Community,0.0
0x236a0f73b0b470568678cbc832ec1f8d76457f45,Community,892.57
0x236bca0806a0fa0563b4db4698a5f850a283cf18,Community,35195.254610231845
0x24e9fb39c5f69a9dfc6558a3df26468731cd76c1,Community,30.07975747218454
0x26e764eb98238eec3265bfc3d0145dd4a2fbb160,Community,1655.9593582656228
0x273131a3ec63ba4fa5f1b10b10883d275c12d1c3,Investor,3153604.724877054
0x28e6503bf8afd1aa5e2970ec0511bea215e252ad,Community,1811.3205726230426
0x299741f68fd5b59ca177795d824f9ce9f6843bba,Community,63.0
0x2ace4e9d7fe2d52b64d9ec64e120f149583d327b,Community,34007.0
0x2b19fde5d7377b48be50a5d0a78398a496e8b15c,Community,150055.88930636997
0x2df8a93ad2232c6906114ecbd11b06e2cc5a4f47,Owner,270000.0
0x31535eb65e75949d6e5eb7ee88006aff24b85633,Community,1740.4332620959153
0x319fa9b7863fd629f33325f159143b82d0fa7b94,Community,277.05
0x31e5a73a99fd4b0bb04c28992a84bab991e288c0,Community,1736.9652943736553
0x3213977900a71e183818472e795c76af8cbc3a3e,Community,9493.968136029456
0x339dab47bdd20b4c05950c4306821896cfb1ff1a,Community,3962.14
0x353b104e1c3a49f574ad32ca8d71e0ce8ee2ea28,Community,100000.0
0x35e057137060cd397bd82e3dff54beba480e7012,Community,2200.0064877123677
0x360abe51c7291a07a1b923258011eee46efff32d,Community,0.0
0x362397d02b31979dd04ac975e1fe5e38c1f4b1c1,Community,19173.390123825568
0x376ded05e7e6b0b04db211a0242f63f59283da8a,Community,689.3802540965967
0x3772bfad95ea1e9171ed9ce4da3e2e2f3bbd099b,Community,2117.1151485682913
0x37ef4f2a90c9806cd8f3f20e203ef1f2e265ef1f,Team,33116.988072865846
0x391891af67e29d97e61e30c3036a0874f5da411e,Community,6512.274912070245
0x3b8496354813efdbd9a1fa19359318dd0afda934,Community,217.63
0x3c1f2e6ec3de7811e2daa2b8e132cdcd8e39851c,Community,1234.9451866339243
0x3cfc30926f7a6da65f5e734bd3bcb8db02cd24af,Owner,360000.0
0x3d74d6211855839dfa1979e1d75003aadba3c8da,Community,947.8913657368671
0x3dae4547b13471ad7a22771d3391e65ad1d4f171,Community,144316.1580937349
0x3f1e558280f7c393007674d8b254c21cad8d6d79,Community,772754.2308976748
0x409d283f9641ef16ad4ccd79abe3a7281abde198,Community,314.8176888616622
0x40fcdd8c164ea13cfd85a871e8755e977d885da4,Team,28756.4243530237
0x423232f0968debd91127a1eebdf4d69b2bb9bed7,Community,2168.1386204023556
0x4501205a75f3e6a99f1320b802fda91fb5499b11,Community,0.0
0x4572581fc62d4477b9e11bb65ea8a1c306cbba3d,Community,946.4981709081
0x476ecee2de6e667e0cd5a8caff49e9e8926c11eb,Community,0.0
0x47ce4acac8fe4e1d6d9bd97099b307f1a6aa8f33,Investor,56801.81795123595
0x48b49badb0229a670ab4dc58c1b738d5d70b67a6,Community,5104.907113367428
0x48d2b6fd872f32fe185c0850ec4bfee064587491,Owner,2100000.0
0x4a86f8f8b364a6d40c868ebda7255d1231d3958e,Investor,906695.7538287858
0x4aecf1635a035a7cb8db30ba12b80a4a95509268,Community,520.15
0x4b4c13434aac5e99645a4d9e59fe497b3318f50f,Investor,11458.919674818577
0x4ce79dff66c6a18e6606b837f2815e26a9cbbf1a,Community,274654.8997841493
0x4cfe899c4413082c1916492990aae635392300b3,Community,11803.655334177058
